# SYNTHETIC illustrative performance figures for the public demo -- NOT real returns.
# The structure mirrors a Fidelity Performance-tab export (per-account TWR/MWR by
# period), but every return value here is a made-up round number, so no real track
# record ships in this repo. Personal-mode use can point this file at real local data.
# return_type: TWR = time-weighted, MWR = money-weighted.
# Empty return_pct = not reported for that account/period combination.
# si_start_date populated only on SI rows.
account_pseudonym,return_type,period,return_pct,si_start_date,source
acct_01,TWR,1M,1.00,,"Illustrative (time-weighted)"
acct_01,TWR,3M,,,"Illustrative (time-weighted)"
acct_01,TWR,YTD,,,"Illustrative (time-weighted)"
acct_01,TWR,1Y,,,"Illustrative (time-weighted)"
acct_01,TWR,3Y,,,"Illustrative (time-weighted)"
acct_01,TWR,5Y,,,"Illustrative (time-weighted)"
acct_01,TWR,SI,2.00,2026-01-01,"Illustrative (time-weighted)"
acct_taxable_02,TWR,1M,2.00,,"Illustrative (time-weighted)"
acct_taxable_02,TWR,3M,4.00,,"Illustrative (time-weighted)"
acct_taxable_02,TWR,YTD,6.00,,"Illustrative (time-weighted)"
acct_taxable_02,TWR,1Y,10.00,,"Illustrative (time-weighted)"
acct_taxable_02,TWR,3Y,8.00,,"Illustrative (time-weighted)"
acct_taxable_02,TWR,5Y,,,"Illustrative (time-weighted)"
acct_taxable_02,TWR,SI,7.00,2021-01-01,"Illustrative (time-weighted)"
acct_roth_01,TWR,1M,3.00,,"Illustrative (time-weighted)"
acct_roth_01,TWR,3M,6.00,,"Illustrative (time-weighted)"
acct_roth_01,TWR,YTD,9.00,,"Illustrative (time-weighted)"
acct_roth_01,TWR,1Y,12.00,,"Illustrative (time-weighted)"
acct_roth_01,TWR,3Y,10.00,,"Illustrative (time-weighted)"
acct_roth_01,TWR,5Y,9.00,,"Illustrative (time-weighted)"
acct_roth_01,TWR,SI,11.00,2020-01-01,"Illustrative (time-weighted)"
acct_wkpl_02,TWR,1M,3.00,,"Illustrative (time-weighted)"
acct_wkpl_02,TWR,3M,5.00,,"Illustrative (time-weighted)"
acct_wkpl_02,TWR,YTD,8.00,,"Illustrative (time-weighted)"
acct_wkpl_02,TWR,1Y,11.00,,"Illustrative (time-weighted)"
acct_wkpl_02,TWR,3Y,,,"Illustrative (time-weighted)"
acct_wkpl_02,TWR,5Y,,,"Illustrative (time-weighted)"
acct_wkpl_02,TWR,SI,,2023-01-01,"Illustrative (time-weighted)"
acct_01,MWR,1M,1.00,,"Illustrative (money-weighted)"
acct_01,MWR,3M,,,"Illustrative (money-weighted)"
acct_01,MWR,YTD,,,"Illustrative (money-weighted)"
acct_01,MWR,1Y,,,"Illustrative (money-weighted)"
acct_01,MWR,3Y,,,"Illustrative (money-weighted)"
acct_01,MWR,5Y,,,"Illustrative (money-weighted)"
acct_01,MWR,SI,2.00,2026-01-01,"Illustrative (money-weighted)"
acct_taxable_02,MWR,1M,2.00,,"Illustrative (money-weighted)"
acct_taxable_02,MWR,3M,4.00,,"Illustrative (money-weighted)"
acct_taxable_02,MWR,YTD,6.00,,"Illustrative (money-weighted)"
acct_taxable_02,MWR,1Y,10.00,,"Illustrative (money-weighted)"
acct_taxable_02,MWR,3Y,9.00,,"Illustrative (money-weighted)"
acct_taxable_02,MWR,5Y,,,"Illustrative (money-weighted)"
acct_taxable_02,MWR,SI,13.00,2021-01-01,"Illustrative (money-weighted)"
acct_roth_01,MWR,1M,3.00,,"Illustrative (money-weighted)"
acct_roth_01,MWR,3M,6.00,,"Illustrative (money-weighted)"
acct_roth_01,MWR,YTD,9.00,,"Illustrative (money-weighted)"
acct_roth_01,MWR,1Y,12.00,,"Illustrative (money-weighted)"
acct_roth_01,MWR,3Y,11.00,,"Illustrative (money-weighted)"
acct_roth_01,MWR,5Y,10.00,,"Illustrative (money-weighted)"
acct_roth_01,MWR,SI,15.00,2020-01-01,"Illustrative (money-weighted)"
